Destination,Region,Country,Category,Latitude,Longitude,Approximate Annual Tourists,Currency,Majority Religion,Famous Foods,Language,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,tourism_type,culture_tags,category_clean,season_tag
Japanese Garden,Monaco-Ville,Monaco,Garden,45.437078,7.426435,"500,000",Euro,Roman Catholic,Mediterranean cuisine,"French, Mongasque",Spring (April-May) or Fall (Sept-Oct),Free,Generally safe,Peaceful oasis with traditional Japanese gardens and koi ponds.,"A tranquil retreat in the heart of Monaco, offering a serene environment.",moderate,general tourism,garden,spring
Saint-Martin Gardens,Monaco-Ville,Monaco,Gardens,45.437078,7.426435,"300,000",Euro,Roman Catholic,Mediterranean cuisine,"French, Mongasque",Spring (April-May) or Fall (Sept-Oct),Free,Generally safe,Beautiful botanical garden with a variety of plants and sculptures.,Features a diverse range of plants and artistic sculptures.,moderate,general tourism,gardens,spring
Exotic Garden,Monaco-Ville,Monaco,Garden,45.437078,7.426435,"200,000",Euro,Roman Catholic,Mediterranean cuisine,"French, Mongasque",Spring (April-May) or Fall (Sept-Oct),Free,Generally safe,Botanical garden featuring cacti and exotic plants from around the world.,"Showcases a wide variety of cacti, succulents, and exotic flora.",moderate,general tourism,garden,spring
Rainier III Botanical Garden,Monaco-Ville,Monaco,Garden,45.437078,7.426435,"100,000",Euro,Roman Catholic,Mediterranean cuisine,"French, Mongasque",Spring (April-May) or Fall (Sept-Oct),Free,Generally safe,Botanical garden focusing on Mediterranean plants and flowers.,Offers a range of Mediterranean flora in a beautifully landscaped setting.,moderate,general tourism,garden,spring
Larvotto Beach,Monaco-Ville,Monaco,Beach,45.437078,7.426435,"100,000",Euro,Roman Catholic,Mediterranean cuisine,"French, Mongasque",Summer (June-September),Extremely high,Generally safe,"Popular beach along the Mediterranean Sea, ideal for sunbathing and swimming.",A prime location for beachgoers and water sports enthusiasts.,moderate,beaches,beach,summer
Grimaldi Forum,Monaco-Ville,Monaco,Cultural Center,45.437078,7.426435,"50,000",Euro,Roman Catholic,Mediterranean cuisine,"French, Mongasque",Year-round,Varies,Generally safe,"Cultural center hosting exhibitions, concerts, and conferences.",A major venue for cultural events and exhibitions in Monaco.,moderate,general tourism,cultural center,any season
Moscow,Moscow Oblast,Russia,City,55.755796,37.617315,12.5 million,Russian Ruble (RUB),Russian Orthodox,"Borscht, Pelmeni, Blini",Russian,Spring (May-June) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","Capital city known for the Kremlin, Red Square, and St. Basil's Cathedral.",Russia's bustling capital with a rich history and impressive landmarks.,touristy,capital city,city,spring
St. Petersburg,Leningrad Oblast,Russia,City,59.934083,30.335285,8 million,Russian Ruble (RUB),Russian Orthodox,"Borscht, Pelmeni, Blini",Russian,Spring (May-June) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","Historic city known for imperial palaces, canals, and museums.",Known for its stunning architecture and cultural heritage.,moderate,historic,city,spring
Sochi,Krasnodar Krai,Russia,City,43.565133,39.60304,3 million,Russian Ruble (RUB),Russian Orthodox,"Borscht, Pelmeni, Blini",Russian,Summer (June-August),Medium-high,"Generally safe, but be aware of pickpockets","Black Sea resort city known for beaches, mountains, and Olympic venues.",Popular destination for beachgoers and winter sports enthusiasts.,less touristy,"beaches, beaches",city,summer
Kazan,Republic of Tatarstan,Russia,City,55.794722,49.111389,2 million,Russian Ruble (RUB),"Muslim, Russian Orthodox","Borscht, Pelmeni, Blini","Russian, Tatar",Spring (May-June) or Fall (Sept-Oct),Medium,Generally safe,"Historic city with a diverse cultural heritage, including a Kremlin and mosques.",Known for its rich history and cultural diversity.,less touristy,historic,city,spring
Vladivostok,Primorsky Krai,Russia,City,43.565133,131.885929,1 million,Russian Ruble (RUB),Russian Orthodox,"Borscht, Pelmeni, Blini",Russian,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Port city on the Pacific Ocean known for seafood, museums, and scenic views.",Offers stunning coastal landscapes and a unique cultural experience.,less touristy,general tourism,city,spring
Lake Baikal,Irkutsk Oblast,Russia,Lake,53.151074,105.257548,2.5 million,Russian Ruble (RUB),Russian Orthodox,"Borscht, Pelmeni, Blini",Russian,Summer (June-August),Medium,Generally safe,"World's deepest lake known for its natural beauty, wildlife, and outdoor activities.",A must-visit for nature enthusiasts and adventure seekers.,less touristy,general tourism,lake,summer
Kamchatka Peninsula,Kamchatka Krai,Russia,Peninsula,56.021562,158.624312,1 million,Russian Ruble (RUB),Russian Orthodox,"Borscht, Pelmeni, Blini",Russian,Summer (June-August),Medium-high,"Generally safe, but be aware of bears","Remote peninsula known for volcanoes, glaciers, and unique wildlife.",Offers dramatic landscapes and natural wonders.,less touristy,general tourism,peninsula,summer
Golden Ring,Central Russia,Russia,Region,56.021562,39.624312,10 million (region-wide),Russian Ruble (RUB),Russian Orthodox,"Borscht, Pelmeni, Blini",Russian,Spring (May-June) or Fall (Sept-Oct),Medium,Generally safe,Group of historic cities known for medieval architecture and cultural heritage.,A historic route offering insights into Russia's medieval past.,moderate,"historic, historic",region,spring
Trans-Siberian Railway,Russia,Russia,Railway,56.021562,105.624312,2 million (tourists),Russian Ruble (RUB),Russian Orthodox,"Borscht, Pelmeni, Blini",Russian,Summer (June-August),Medium-high,Generally safe,"Famous railway route spanning Russia, known for its scenic and cultural experiences.",An iconic journey showcasing Russia's vast landscapes and diverse cultures.,moderate,general tourism,railway,summer
St. Basil's Cathedral,Moscow,Russia,Church,55.755796,37.617315,2 million,Russian Ruble (RUB),Russian Orthodox,"Borscht, Pelmeni, Blini",Russian,Spring (May-June) or Fall (Sept-Oct),Free,Generally safe,Iconic cathedral known for its colorful domes and intricate architecture.,A symbol of Russia's rich cultural and religious heritage.,less touristy,general tourism,church,spring
Oslo,Oslo,Norway,City,59.913868,10.751964,2.5 million,Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Spring (May-June) or Fall (Sept-Oct),High,Generally safe,"Capital city known for museums, parks, and cultural scene.","The capital city, known for its museums, parks, and vibrant cultural scene.",less touristy,capital city,city,spring
Bergen,Vestland,Norway,City,60.395186,5.324015,1.5 million,Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Coastal city known for colorful houses, fish market, and scenic fjords.","A coastal city known for its colorful wooden houses, fish market, and scenic fjords.",less touristy,general tourism,city,spring
Sognefjord,Vestland,Norway,Fjord,61.006944,7.025278,1 million,Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Longest fjord in Norway, offering stunning scenery and outdoor activities.","The longest fjord in Norway, offering stunning scenery and outdoor activities.",less touristy,general tourism,fjord,spring
Geirangerfjord,M?re og Romsdal,Norway,Fjord,62.103056,7.031389,"500,000",Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"UNESCO World Heritage Site with towering cliffs, waterfalls, and scenic beauty.","A UNESCO World Heritage Site, famous for its towering cliffs, waterfalls, and scenic beauty.",moderate,UNESCO heritage,fjord,spring
Lofoten Islands,Nordland,Norway,Islands,68.005472,13.033294,"500,000",Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Islands known for dramatic landscapes, fishing villages, and Northern Lights.","A group of islands known for their dramatic landscapes, fishing villages, and Northern Lights.",moderate,island,islands,spring
Troms?,Troms,Norway,City,69.649328,18.955689,"300,000",Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Northernmost city in Norway, known for Arctic Circle location and Northern Lights.","The northernmost city in Norway, known for its Arctic Circle location and Northern Lights.",moderate,general tourism,city,spring
Jotunheimen National Park,Innlandet,Norway,National Park,61.357778,8.322533,"200,000",Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Summer (June-August),Medium-high,Generally safe,"National park known for glaciers, hiking trails, and wildlife.","A national park in the Norwegian mountains, known for its glaciers, hiking trails, and wildlife.",moderate,general tourism,national park,summer
Hardangervidda National Park,Vestland,Norway,National Park,60.769653,7.333111,"100,000",Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Summer (June-August),Medium-high,Generally safe,"National park known for reindeer, hiking trails, and winter sports.","A national park in the Hardangervidda plateau, known for its reindeer, hiking trails, and winter sports.",moderate,general tourism,national park,summer
Preikestolen,Rogaland,Norway,Cliff,59.395186,5.930833,"300,000",Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Summer (June-August),Medium-high,Generally safe,Famous cliff offering stunning panoramic views over a fjord.,"A famous cliff overlooking a fjord, offering stunning panoramic views.",moderate,general tourism,cliff,summer
Flm,Vestland,Norway,Village,60.730556,7.024444,"50,000",Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Summer (June-August),Medium-high,Generally safe,Picturesque village known for its scenic train journey and fjord cruises.,"A picturesque village at the end of the Flm Valley, known for its scenic train journey and fjord cruises.",moderate,general tourism,village,summer
Stockholm,Stockholm County,Sweden,City,59.329302,18.068581,2.5 million,Swedish krona (SEK),Protestant,"Kttbullar, Fika, Jansson's Temptation",Swedish,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Capital city known for archipelago, museums, and vibrant culture.","The capital city, known for its archipelago, museums, and vibrant culture.",less touristy,capital city,city,spring
Gothenburg,Vstra Gtaland County,Sweden,City,57.708863,11.973339,1.5 million,Swedish krona (SEK),Protestant,"Kttbullar, Fika, Jansson's Temptation",Swedish,Spring (May-June) or Fall (Sept-Oct),Medium,Generally safe,"Sweden's second-largest city, known for harbor, museums, and nightlife.","Sweden's second-largest city, known for its harbor, museums, and vibrant nightlife.",less touristy,nightlife,city,spring
Malm,Skne County,Sweden,City,55.609934,13.007758,1 million,Swedish krona (SEK),Protestant,"Kttbullar, Fika, Jansson's Temptation",Swedish,Spring (May-June) or Fall (Sept-Oct),Medium,Generally safe,"Coastal city known for modern architecture, museums, and arts scene.","A coastal city known for its modern architecture, museums, and vibrant arts scene.",less touristy,general tourism,city,spring
Lapland,Norrbotten County,Sweden,Region,67.005472,20.033294,"500,000",Swedish krona (SEK),Protestant,"Kttbullar, Fika, Jansson's Temptation",Swedish,"Winter (Dec-Mar) for Northern Lights, Summer (Jun-Aug) for hiking",Medium-high,Generally safe,"Northernmost region, known for Arctic landscapes, Northern Lights, and reindeer.","The northernmost region of Sweden, known for its Arctic landscapes, Northern Lights, and reindeer.",moderate,general tourism,region,summer
Fjllbacka,Vstra Gtaland County,Sweden,Town,58.026014,11.464321,"200,000",Swedish krona (SEK),Protestant,"Kttbullar, Fika, Jansson's Temptation",Swedish,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,Charming coastal town with colorful houses and seafood restaurants.,"A charming coastal town known for its colorful houses, seafood restaurants, and scenic beauty.",moderate,general tourism,town,spring
Visby,Gotland County,Sweden,City,57.744674,18.285443,"200,000",Swedish krona (SEK),Protestant,"Kttbullar, Fika, Jansson's Temptation",Swedish,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,Medieval walled city known for ruins and summer festivals.,"A medieval walled city on the island of Gotland, known for its ruins, cobblestone streets, and summer festivals.",moderate,historic,city,spring
Uppsala,Uppsala County,Sweden,City,59.858134,17.638943,"150,000",Swedish krona (SEK),Protestant,"Kttbullar, Fika, Jansson's Temptation",Swedish,Spring (May-June) or Fall (Sept-Oct),Medium,Generally safe,"University city known for cathedral, castle, and museums.","A university city known for its cathedral, castle, and museums.",moderate,general tourism,city,spring
Kiruna,Norrbotten County,Sweden,City,67.853244,20.236394,"100,000",Swedish krona (SEK),Protestant,"Kttbullar, Fika, Jansson's Temptation",Swedish,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Northernmost city, known for mining industry and winter activities.","The northernmost city in Sweden, located above the Arctic Circle, and known for its mining industry and winter activities.",moderate,general tourism,city,spring
Sarek National Park,Norrbotten County,Sweden,National Park,67.517222,17.522778,"50,000",Swedish krona (SEK),Protestant,"Kttbullar, Fika, Jansson's Temptation",Swedish,Summer (Jun-Aug),Medium-high,Generally safe,"National park known for glaciers, hiking trails, and wildlife.","A national park in the Swedish mountains, known for its glaciers, hiking trails, and wildlife.",moderate,general tourism,national park,summer
Vasa Museum,Stockholm County,Sweden,Museum,59.329302,18.068581,1 million,Swedish krona (SEK),Protestant,"Kttbullar, Fika, Jansson's Temptation",Swedish,Year-round,Medium,Generally safe,Maritime museum featuring a preserved 17th-century warship.,"A maritime museum featuring a preserved 17th-century warship, the Vasa.",less touristy,general tourism,museum,any season
Zurich,Zurich,Switzerland,City,47.376881,8.541694,3 million,Swiss franc (CHF),Protestant,"Fondue, Rsti, Raclette","German, French, Italian",Spring (Apr-May) or Fall (Sep-Oct),High,Generally safe,"Largest city known for finance, museums, and lakefront.","The largest city in Switzerland, known for its financial district, museums, and beautiful lakefront.",less touristy,general tourism,city,spring
Geneva,Geneva,Switzerland,City,46.204391,6.147435,2 million,Swiss franc (CHF),Protestant,"Fondue, Rsti, Raclette","French, German",Spring (Apr-May) or Fall (Sep-Oct),High,Generally safe,Cosmopolitan city known for international organizations and scenic beauty.,"A cosmopolitan city on Lake Geneva, known for its international organizations, museums, and beautiful scenery.",less touristy,general tourism,city,spring
Lucerne,Central Switzerland,Switzerland,City,47.051389,8.306944,1.5 million,Swiss franc (CHF),Roman Catholic,"Fondue, Rsti, Raclette","German, French",Spring (Apr-May) or Fall (Sep-Oct),Medium-high,Generally safe,Picturesque city known for historic center and lake.,"A picturesque city on Lake Lucerne, known for its historic center, Chapel Bridge, and Lion Monument.",less touristy,historic,city,spring
Interlaken,Bern,Switzerland,Town,46.680278,7.855833,1 million,Swiss franc (CHF),Protestant,"Fondue, Rsti, Raclette","German, French",Spring (Apr-May) or Fall (Sep-Oct),Medium-high,Generally safe,Popular resort town known for outdoor activities.,"A popular resort town in the Bernese Alps, known for its outdoor activities like hiking, skiing, and paragliding.",less touristy,general tourism,town,spring
Zermatt,Valais,Switzerland,Town,46.051389,7.7025,"500,000",Swiss franc (CHF),Roman Catholic,"Fondue, Rsti, Raclette","German, French","Winter (Dec-Mar) for skiing, Summer (Jun-Sep) for hiking",High,Generally safe,Car-free town known for Matterhorn and skiing.,"A car-free town in the Swiss Alps, known for its Matterhorn peak, skiing, and hiking.",moderate,general tourism,town,summer
Jungfraujoch,Bern,Switzerland,Mountain Pass,46.538056,7.986944,"350,000",Swiss franc (CHF),Protestant,"Fondue, Rsti, Raclette","German, French",Year-round,High,Generally safe,Highest railway station in Europe with panoramic views.,"The highest railway station in Europe, offering panoramic views of the Swiss Alps.",moderate,general tourism,mountain pass,any season
Rhine Falls,Schaffhausen,Switzerland,Waterfall,47.567778,8.675556,1 million,Swiss franc (CHF),Protestant,"Fondue, Rsti, Raclette","German, French",Spring (Apr-May) or Fall (Sep-Oct),Medium,Generally safe,Europe's largest waterfall with stunning views.,"Europe's largest waterfall, offering stunning views and boat tours.",less touristy,general tourism,waterfall,spring
Swiss National Park,Grisons,Switzerland,National Park,46.576667,10.014722,"100,000",Swiss franc (CHF),Protestant,"Fondue, Rsti, Raclette","German, French",Summer (Jun-Aug),Medium-high,Generally safe,Switzerland's only national park with diverse wildlife.,"Switzerland's only national park, known for its diverse wildlife, hiking trails, and stunning scenery.",moderate,general tourism,national park,summer
Gruyres,Fribourg,Switzerland,Town,46.522222,7.034722,"50,000",Swiss franc (CHF),Roman Catholic,"Fondue, Rsti, Raclette","French, German",Spring (Apr-May) or Fall (Sep-Oct),Medium-high,Generally safe,Medieval town known for Gruyre cheese and castle.,"A charming medieval town known for its Gruyre cheese, castle, and chocolate factory.",moderate,historic,town,spring
Montreux,Vaud,Switzerland,Town,46.520278,6.923611,"100,000",Swiss franc (CHF),Protestant,"Fondue, Rsti, Raclette","French, German",Spring (Apr-May) or Fall (Sep-Oct),Medium-high,Generally safe,Known for jazz festival and scenic vineyards.,"A town on Lake Geneva, known for its jazz festival, vineyards, and beautiful scenery.",moderate,general tourism,town,spring
Istanbul,Istanbul,Turkey,City,41.008238,28.978359,15 million,Turkish lira (TRY),Muslim,"Kebab, Baklava, Dolma",Turkish,Spring (Apr-May) or Fall (Sep-Oct),Medium-high,"Generally safe, but be aware of pickpockets",Historic city straddling Europe and Asia with significant landmarks.,"A historic city straddling Europe and Asia, known for its Hagia Sophia, Blue Mosque, and Grand Bazaar.",touristy,"historic, landmarks",city,spring
Antalya,Antalya,Turkey,City,36.522512,30.703761,10 million,Turkish lira (TRY),Muslim,"Kebab, Baklava, Dolma",Turkish,Spring (Apr-May) or Fall (Sep-Oct),Medium-high,Generally safe,Popular coastal city with beaches and ancient ruins.,"A popular coastal city known for its beaches, ancient ruins, and vibrant nightlife.",moderate,"beaches, beaches",city,spring
Cappadocia,Central Anatolia,Turkey,Region,38.711845,35.156845,2 million,Turkish lira (TRY),Muslim,"Kebab, Baklava, Dolma",Turkish,Spring (Apr-May) or Fall (Sep-Oct),Medium-high,Generally safe,Unique region known for fairy chimneys and hot air balloons.,"A unique region known for its fairy chimneys, underground cities, and hot air balloon rides.",less touristy,general tourism,region,spring
Ephesus,Aegean Region,Turkey,Archaeological Site,37.742778,27.391667,1.5 million,Turkish lira (TRY),Muslim,"Kebab, Baklava, Dolma",Turkish,Spring (Apr-May) or Fall (Sep-Oct),Medium,Generally safe,Well-preserved ancient Greek city with significant ruins.,"A well-preserved ancient Greek city, known for its Library of Celsus and Temple of Artemis.",less touristy,general tourism,archaeological site,spring
Pamukkale,Aegean Region,Turkey,Natural Site,37.779722,29.0825,1 million,Turkish lira (TRY),Muslim,"Kebab, Baklava, Dolma",Turkish,Spring (Apr-May) or Fall (Sep-Oct),Medium,Generally safe,UNESCO World Heritage Site with white travertine terraces.,A UNESCO World Heritage Site featuring white travertine terraces and hot springs.,less touristy,UNESCO heritage,natural site,spring
Bodrum,Aegean Region,Turkey,Town,37.134596,27.384188,1 million,Turkish lira (TRY),Muslim,"Kebab, Baklava, Dolma",Turkish,Spring (Apr-May) or Fall (Sep-Oct),Medium-high,Generally safe,Coastal town known for beaches and ancient ruins.,"A popular coastal town known for its beaches, nightlife, and ancient ruins.",less touristy,"beaches, beaches",town,spring
Fethiye,Aegean Region,Turkey,Town,36.686944,28.9575,"500,000",Turkish lira (TRY),Muslim,"Kebab, Baklava, Dolma",Turkish,Spring (Apr-May) or Fall (Sep-Oct),Medium-high,Generally safe,Coastal town with beaches and boat trips to islands.,"A coastal town known for its beaches, ancient ruins, and boat trips to nearby islands.",moderate,"beaches, beaches, island",town,spring
Istanbul Grand Bazaar,Istanbul,Turkey,Bazaar,41.008238,28.978359,10 million,Turkish lira (TRY),Muslim,"Kebab, Baklava, Dolma",Turkish,Year-round,Medium-high,Generally safe,One of the world's largest covered bazaars with diverse goods.,"One of the world's largest covered bazaars, offering a wide variety of goods and souvenirs.",moderate,general tourism,bazaar,any season
Topkapi Palace,Istanbul,Turkey,Palace,41.008238,28.978359,5 million,Turkish lira (TRY),Muslim,"Kebab, Baklava, Dolma",Turkish,Year-round,Medium-high,Generally safe,Former Ottoman palace now a museum showcasing history.,"A former palace of the Ottoman Empire, now a museum showcasing its rich history and artifacts.",moderate,general tourism,palace,any season
Blue Mosque,Istanbul,Turkey,Mosque,41.008238,28.978359,2 million,Turkish lira (TRY),Muslim,"Kebab, Baklava, Dolma",Turkish,Year-round,Free,Generally safe,Beautiful mosque known for blue Iznik tiles and architecture.,A beautiful mosque known for its blue Iznik tiles and impressive architecture.,less touristy,general tourism,mosque,any season
Kyiv,Kyiv Oblast,Ukraine,City,50.45466,30.523842,3.5 million,Ukrainian hryvnia (UAH),Ukrainian Orthodox,"Borscht, Varenyky, Salo",Ukrainian,Spring (May-June) or Fall (Sep-Oct),Medium-high,"Generally safe, but be aware of ongoing conflict",Capital city known for historic architecture and vibrant culture.,"The capital city, known for its historic architecture, museums, and vibrant culture.",less touristy,"capital city, historic",city,spring
Lviv,Lviv Oblast,Ukraine,City,49.839973,23.989223,2 million,Ukrainian hryvnia (UAH),Ukrainian Orthodox,"Borscht, Varenyky, Salo",Ukrainian,Spring (May-June) or Fall (Sep-Oct),Medium,Generally safe,Historic city known for medieval architecture and lively atmosphere.,"A historic city known for its medieval architecture, coffee shops, and vibrant atmosphere.",less touristy,"historic, historic",city,spring
Odessa,Odesa Oblast,Ukraine,City,46.483333,30.733333,1 million,Ukrainian hryvnia (UAH),Ukrainian Orthodox,"Borscht, Varenyky, Salo",Ukrainian,Spring (May-June) or Fall (Sep-Oct),Medium,"Generally safe, but be aware of potential risks",Coastal city known for beaches and vibrant nightlife.,"A coastal city on the Black Sea, known for its beaches, opera house, and vibrant nightlife.",less touristy,"beaches, beaches, nightlife",city,spring
Chernobyl Exclusion Zone,Kyiv Oblast,Ukraine,Site,51.384222,30.109722,"100,000",Ukrainian hryvnia (UAH),Ukrainian Orthodox,"Borscht, Varenyky, Salo",Ukrainian,Spring (May-June) or Fall (Sep-Oct),Medium,Restricted access,Notable for dark tourism and wildlife observation.,"A former nuclear power plant site and surrounding area, now a popular destination for dark tourism and wildlife observation.",moderate,general tourism,site,spring
Carpathian Mountains,Carpathian Mountains,Ukraine,Mountains,48.0,24.0,"500,000",Ukrainian hryvnia (UAH),Ukrainian Orthodox,"Borscht, Varenyky, Salo",Ukrainian,Summer (Jun-Aug),Medium-high,Generally safe,"Known for beautiful scenery, hiking, and winter sports.","A mountain range known for its beautiful scenery, hiking trails, and winter sports.",moderate,general tourism,mountains,summer
Kharkiv,Kharkiv Oblast,Ukraine,City,50.0,36.25,"500,000",Ukrainian hryvnia (UAH),Ukrainian Orthodox,"Borscht, Varenyky, Salo",Ukrainian,Spring (May-June) or Fall (Sep-Oct),Medium,"Generally safe, but be aware of potential risks",Major city known for universities and parks.,"A large city in eastern Ukraine, known for its universities, museums, and parks.",moderate,general tourism,city,spring
Dnipro,Dnipropetrovsk Oblast,Ukraine,City,48.461667,34.976667,"500,000",Ukrainian hryvnia (UAH),Ukrainian Orthodox,"Borscht, Varenyky, Salo",Ukrainian,Spring (May-June) or Fall (Sep-Oct),Medium,"Generally safe, but be aware of potential risks",Important industrial city with historical sites.,"A city on the Dnieper River, known for its industrial importance and historical sites.",moderate,historic,city,spring
Lviv Opera House,Lviv,Ukraine,Opera House,49.839973,23.989223,"100,000",Ukrainian hryvnia (UAH),Ukrainian Orthodox,"Borscht, Varenyky, Salo",Ukrainian,Year-round,Medium,Generally safe,Beautiful opera house with rich history.,A beautiful opera house with a rich history and cultural significance.,moderate,general tourism,opera house,any season
Andriyivski Descent,Kyiv,Ukraine,Street,50.45466,30.523842,"100,000",Ukrainian hryvnia (UAH),Ukrainian Orthodox,"Borscht, Varenyky, Salo",Ukrainian,Year-round,Medium,Generally safe,Historic street known for colorful houses and shops.,"A historic street in Kyiv, known for its colorful houses, shops, and restaurants.",moderate,historic,street,any season
Pechersk Lavra,Kyiv,Ukraine,Monastery,50.463333,30.512222,"100,000",Ukrainian hryvnia (UAH),Ukrainian Orthodox,"Borscht, Varenyky, Salo",Ukrainian,Year-round,Medium,Generally safe,Large Orthodox monastery with beautiful churches.,"A large Orthodox monastery complex with beautiful churches, gardens, and caves.",moderate,general tourism,monastery,any season
London,Greater London,United Kingdom,City,51.507351,-0.127758,25 million,British Pound Sterling (GBP),Christian (Anglican),"Fish and chips, Sunday roast, Afternoon tea",English,Spring (April-May) or Fall (Sep-Oct),High,"Generally safe, but be aware of pickpockets","The capital city, known for its Buckingham Palace, Big Ben, and Tower of London.","The capital city, known for its Buckingham Palace, Big Ben, and Tower of London.",touristy,capital city,city,spring
Edinburgh,Scotland,United Kingdom,City,55.953252,-3.188267,3 million,British Pound Sterling (GBP),Christian (Presbyterian),"Haggis, Scotch whisky, Shortbread","English, Scottish Gaelic",Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"The capital of Scotland, known for its medieval castle and vibrant festivals.","The capital of Scotland, known for its medieval castle, historic Old Town, and vibrant festivals.",less touristy,"capital city, historic",city,spring
Manchester,England,United Kingdom,City,53.480958,-2.241509,2 million,British Pound Sterling (GBP),Christian (Anglican),"Fish and chips, Sunday roast, Afternoon tea",English,Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"Known for its football teams, music scene, and industrial heritage.","A major city known for its football teams, music scene, and industrial heritage.",less touristy,general tourism,city,spring
Liverpool,England,United Kingdom,City,53.408371,-2.987576,1.5 million,British Pound Sterling (GBP),Christian (Anglican),"Fish and chips, Sunday roast, Afternoon tea",English,Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"Known for its Beatles heritage, museums, and waterfront.","A coastal city known for its Beatles heritage, museums, and waterfront.",less touristy,general tourism,city,spring
Cambridge,England,United Kingdom,City,52.204772,0.120972,1 million,British Pound Sterling (GBP),Christian (Anglican),"Fish and chips, Sunday roast, Afternoon tea",English,Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"Known for its historic colleges, museums, and botanic gardens.","A university city known for its historic colleges, museums, and botanic gardens.",less touristy,historic,city,spring
Lake District,England,United Kingdom,National Park,54.364158,-3.083333,2 million,British Pound Sterling (GBP),Christian (Anglican),"Fish and chips, Sunday roast, Afternoon tea",English,Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"Known for its lakes, mountains, and hiking trails.","A scenic region known for its lakes, mountains, and hiking trails.",less touristy,general tourism,national park,spring
Yorkshire Dales,England,United Kingdom,National Park,54.057778,-1.988889,1 million,British Pound Sterling (GBP),Christian (Anglican),"Fish and chips, Sunday roast, Afternoon tea",English,Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"Known for its rolling hills, limestone cliffs, and picturesque villages.","A national park known for its rolling hills, limestone cliffs, and picturesque villages.",less touristy,general tourism,national park,spring
The Cotswolds,England,United Kingdom,Region,51.793333,-1.875,1 million,British Pound Sterling (GBP),Christian (Anglican),"Fish and chips, Sunday roast, Afternoon tea",English,Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"Known for its picturesque villages, rolling hills, and historic architecture.","A scenic region known for its picturesque villages, rolling hills, and historic architecture.",less touristy,historic,region,spring
Stonehenge,Wiltshire,United Kingdom,Prehistoric Site,51.1775,-1.996167,1 million,British Pound Sterling (GBP),Christian (Anglican),"Fish and chips, Sunday roast, Afternoon tea",English,Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,Known for its mysterious stone circles.,A prehistoric monument known for its mysterious stone circles.,less touristy,general tourism,prehistoric site,spring
Scottish Highlands,Scotland,United Kingdom,Region,57.051528,-4.213333,1 million,British Pound Sterling (GBP),Christian (Presbyterian),"Haggis, Scotch whisky, Shortbread","English, Scottish Gaelic",Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"Known for its stunning scenery, hiking trails, and wildlife.","A mountainous region known for its stunning scenery, hiking trails, and wildlife.",less touristy,general tourism,region,spring
Luxembourg City,Luxembourg District,Luxembourg,City,49.611668,6.130237,1.5 million,Euro (EUR),Roman Catholic,"Judd mat Gaardebounen, Knppchen, Riesling","Luxembourgish, French, German",Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"The capital city, known for its medieval fortifications, picturesque streets, and museums.","The capital city, known for its medieval fortifications, picturesque streets, and museums.",less touristy,"capital city, historic",city,spring
